date_checked,departure_date,from,to,price,currency,airline,departure_time,arrival_time,offer_id
2025-07-15,2025-09-02,IST,ISB,275.7,EUR,QR,2025-09-02T13:35:00,2025-09-02T17:50:00,13
2025-07-15,2025-09-02,IST,ISB,306.51,EUR,PK,2025-09-02T01:10:00,2025-09-02T07:55:00,14
2025-07-15,2025-09-02,IST,ISB,306.51,EUR,PK,2025-09-02T21:10:00,2025-09-03T03:55:00,15
2025-07-15,2025-09-02,IST,ISB,318.0,EUR,J2,2025-09-02T16:45:00,2025-09-02T20:35:00,16
2025-07-15,2025-09-02,IST,ISB,332.0,EUR,J2,2025-09-02T22:50:00,2025-09-03T02:40:00,17
2025-07-15,2025-09-02,IST,ISB,332.85,EUR,TG,2025-09-02T16:30:00,2025-09-03T05:40:00,18
2025-07-15,2025-09-02,IST,ISB,353.57,EUR,PK,2025-09-02T21:10:00,2025-09-03T04:20:00,19
2025-07-15,2025-09-02,IST,ISB,353.57,EUR,PK,2025-09-02T21:10:00,2025-09-03T04:20:00,20
2025-07-15,2025-09-02,IST,ISB,362.74,EUR,SV,2025-09-02T18:25:00,2025-09-02T22:20:00,21
2025-07-15,2025-09-02,IST,ISB,362.74,EUR,SV,2025-09-02T15:25:00,2025-09-02T19:20:00,22
2025-07-15,2025-09-02,IST,ISB,362.74,EUR,SV,2025-09-02T16:25:00,2025-09-02T20:50:00,23
2025-07-15,2025-09-02,IST,ISB,372.77,EUR,TK,2025-09-02T01:10:00,2025-09-02T07:55:00,24
2025-07-15,2025-09-02,IST,ISB,446.77,EUR,TK,2025-09-02T21:10:00,2025-09-03T03:55:00,25
2025-07-15,2025-09-02,IST,ISB,495.63,EUR,EK,2025-09-02T14:05:00,2025-09-02T19:35:00,26
2025-07-15,2025-09-02,IST,ISB,495.63,EUR,EK,2025-09-02T22:25:00,2025-09-03T03:55:00,27
2025-07-15,2025-09-02,IST,ISB,495.63,EUR,EK,2025-09-02T22:25:00,2025-09-03T03:55:00,28
2025-07-15,2025-09-02,IST,ISB,500.63,EUR,EK,2025-09-02T19:25:00,2025-09-03T00:55:00,29
2025-07-15,2025-09-02,IST,ISB,500.63,EUR,EK,2025-09-02T23:20:00,2025-09-03T04:50:00,30
2025-07-15,2025-09-02,IST,ISB,500.63,EUR,EK,2025-09-02T19:25:00,2025-09-03T00:55:00,31
2025-07-15,2025-09-02,IST,ISB,500.63,EUR,EK,2025-09-02T18:35:00,2025-09-03T00:05:00,32
2025-07-15,2025-09-02,IST,ISB,506.14,EUR,EK,2025-09-02T19:25:00,2025-09-03T00:55:00,33
2025-07-15,2025-09-02,IST,ISB,539.14,EUR,FZ,2025-09-02T14:05:00,2025-09-02T19:35:00,34
2025-07-15,2025-09-02,IST,ISB,559.23,EUR,WY,2025-09-02T18:30:00,2025-09-03T00:25:00,35
2025-07-15,2025-09-02,IST,ISB,891.61,EUR,EY,2025-09-02T00:10:00,2025-09-02T05:35:00,36
2025-07-15,2025-09-02,IST,ISB,891.61,EUR,EY,2025-09-02T00:10:00,2025-09-02T05:35:00,37
2025-07-15,2025-09-02,IST,ISB,1833.73,EUR,QF,2025-09-02T19:25:00,2025-09-03T00:55:00,38
2025-07-15,2025-09-03,IST,ISB,228.61,EUR,EY,2025-09-03T07:25:00,2025-09-03T12:55:00,1
2025-07-15,2025-09-03,IST,ISB,250.7,EUR,QR,2025-09-03T13:35:00,2025-09-03T17:50:00,2
2025-07-15,2025-09-03,IST,ISB,255.7,EUR,QR,2025-09-03T20:05:00,2025-09-04T00:30:00,3
2025-07-15,2025-09-03,IST,ISB,255.7,EUR,QR,2025-09-03T13:45:00,2025-09-03T18:10:00,4
2025-07-15,2025-09-03,IST,ISB,255.7,EUR,QR,2025-09-03T13:45:00,2025-09-03T18:10:00,5
2025-07-15,2025-09-03,IST,ISB,257.92,EUR,QR,2025-09-03T20:05:00,2025-09-04T00:30:00,6
2025-07-15,2025-09-03,IST,ISB,258.61,EUR,EY,2025-09-03T14:15:00,2025-09-03T19:50:00,7
2025-07-15,2025-09-03,IST,ISB,258.61,EUR,EY,2025-09-03T07:25:00,2025-09-03T12:55:00,8
2025-07-15,2025-09-03,IST,ISB,275.7,EUR,QR,2025-09-03T13:35:00,2025-09-03T17:50:00,9
2025-07-15,2025-09-03,IST,ISB,298.92,EUR,QR,2025-09-03T20:05:00,2025-09-04T00:20:00,10
2025-07-15,2025-09-03,IST,ISB,318.0,EUR,J2,2025-09-03T10:30:00,2025-09-03T14:20:00,11
2025-07-15,2025-09-03,IST,ISB,332.0,EUR,J2,2025-09-03T12:00:00,2025-09-03T15:50:00,12
2025-07-15,2025-09-03,IST,ISB,338.7,EUR,QR,2025-09-03T20:05:00,2025-09-04T00:20:00,13
2025-07-15,2025-09-03,IST,ISB,353.57,EUR,PK,2025-09-03T21:10:00,2025-09-04T04:20:00,14
2025-07-15,2025-09-03,IST,ISB,353.57,EUR,PK,2025-09-03T21:10:00,2025-09-04T04:20:00,15
2025-07-15,2025-09-03,IST,ISB,362.74,EUR,SV,2025-09-03T11:55:00,2025-09-03T15:50:00,16
2025-07-15,2025-09-03,IST,ISB,362.74,EUR,SV,2025-09-03T15:25:00,2025-09-03T19:20:00,17
2025-07-15,2025-09-03,IST,ISB,362.74,EUR,SV,2025-09-03T11:55:00,2025-09-03T15:50:00,18
2025-07-15,2025-09-03,IST,ISB,372.77,EUR,TK,2025-09-03T21:10:00,2025-09-04T03:55:00,19
2025-07-15,2025-09-03,IST,ISB,391.9,EUR,GF,2025-09-03T16:10:00,2025-09-03T20:20:00,20
2025-07-15,2025-09-03,IST,ISB,400.63,EUR,PK,2025-09-03T00:40:00,2025-09-03T08:00:00,21
2025-07-15,2025-09-03,IST,ISB,400.63,EUR,PK,2025-09-03T20:30:00,2025-09-04T03:50:00,22
2025-07-15,2025-09-03,IST,ISB,400.63,EUR,PK,2025-09-03T00:40:00,2025-09-03T08:00:00,23
2025-07-15,2025-09-03,IST,ISB,400.63,EUR,PK,2025-09-03T20:30:00,2025-09-04T03:50:00,24
2025-07-15,2025-09-03,IST,ISB,432.69,EUR,A3,2025-09-03T10:40:00,2025-09-03T12:10:00,25
2025-07-15,2025-09-03,IST,ISB,495.63,EUR,EK,2025-09-03T14:05:00,2025-09-03T19:35:00,26
2025-07-15,2025-09-03,IST,ISB,495.63,EUR,EK,2025-09-03T22:25:00,2025-09-04T03:55:00,27
2025-07-15,2025-09-03,IST,ISB,500.63,EUR,EK,2025-09-03T19:25:00,2025-09-04T00:55:00,28
2025-07-15,2025-09-03,IST,ISB,500.63,EUR,EK,2025-09-03T18:35:00,2025-09-04T00:05:00,29
2025-07-15,2025-09-03,IST,ISB,500.63,EUR,EK,2025-09-03T02:10:00,2025-09-03T07:35:00,30
2025-07-15,2025-09-03,IST,ISB,506.14,EUR,EK,2025-09-03T19:25:00,2025-09-04T00:55:00,31
2025-07-15,2025-09-03,IST,ISB,539.14,EUR,FZ,2025-09-03T14:05:00,2025-09-03T19:35:00,32
2025-07-15,2025-09-03,IST,ISB,1833.73,EUR,QF,2025-09-03T19:25:00,2025-09-04T00:55:00,33
2025-07-15,2025-09-04,IST,ISB,228.61,EUR,EY,2025-09-04T07:25:00,2025-09-04T12:55:00,1
2025-07-15,2025-09-04,IST,ISB,247.97,EUR,KU,2025-09-04T13:00:00,2025-09-04T16:35:00,2
2025-07-15,2025-09-04,IST,ISB,255.7,EUR,QR,2025-09-04T13:45:00,2025-09-04T18:10:00,3
2025-07-15,2025-09-04,IST,ISB,255.7,EUR,QR,2025-09-04T13:45:00,2025-09-04T18:10:00,4
2025-07-15,2025-09-04,IST,ISB,257.92,EUR,QR,2025-09-04T20:05:00,2025-09-05T00:30:00,5
2025-07-15,2025-09-04,IST,ISB,258.61,EUR,EY,2025-09-04T07:25:00,2025-09-04T12:55:00,6
2025-07-15,2025-09-04,IST,ISB,275.7,EUR,QR,2025-09-04T13:35:00,2025-09-04T17:50:00,7
2025-07-15,2025-09-04,IST,ISB,275.7,EUR,QR,2025-09-04T13:35:00,2025-09-04T17:50:00,8
2025-07-15,2025-09-04,IST,ISB,277.92,EUR,QR,2025-09-04T20:05:00,2025-09-05T00:20:00,9
2025-07-15,2025-09-04,IST,ISB,280.7,EUR,QR,2025-09-04T20:05:00,2025-09-05T00:30:00,10
2025-07-15,2025-09-04,IST,ISB,296.7,EUR,QR,2025-09-04T20:05:00,2025-09-05T00:20:00,11
2025-07-15,2025-09-04,IST,ISB,299.97,EUR,KU,2025-09-04T15:00:00,2025-09-04T18:20:00,12
2025-07-15,2025-09-04,IST,ISB,332.85,EUR,TG,2025-09-04T16:30:00,2025-09-05T05:40:00,13
2025-07-15,2025-09-04,IST,ISB,337.61,EUR,EY,2025-09-04T14:15:00,2025-09-04T19:50:00,14
2025-07-15,2025-09-04,IST,ISB,353.57,EUR,PK,2025-09-04T21:10:00,2025-09-05T04:20:00,15
2025-07-15,2025-09-04,IST,ISB,362.74,EUR,SV,2025-09-04T18:25:00,2025-09-04T22:20:00,16
2025-07-15,2025-09-04,IST,ISB,362.74,EUR,SV,2025-09-04T15:25:00,2025-09-04T19:20:00,17
2025-07-15,2025-09-04,IST,ISB,362.74,EUR,SV,2025-09-04T16:25:00,2025-09-04T20:50:00,18
2025-07-15,2025-09-04,IST,ISB,372.77,EUR,TK,2025-09-04T21:10:00,2025-09-05T03:55:00,19
2025-07-15,2025-09-04,IST,ISB,391.9,EUR,GF,2025-09-04T16:10:00,2025-09-04T20:20:00,20
2025-07-15,2025-09-04,IST,ISB,400.63,EUR,PK,2025-09-04T00:40:00,2025-09-04T08:00:00,21
2025-07-15,2025-09-04,IST,ISB,400.63,EUR,PK,2025-09-04T20:30:00,2025-09-05T03:50:00,22
2025-07-15,2025-09-04,IST,ISB,400.63,EUR,PK,2025-09-04T00:40:00,2025-09-04T08:00:00,23
2025-07-15,2025-09-04,IST,ISB,400.63,EUR,PK,2025-09-04T20:30:00,2025-09-05T03:50:00,24
2025-07-15,2025-09-04,IST,ISB,400.63,EUR,PK,2025-09-04T20:30:00,2025-09-05T03:50:00,25
2025-07-15,2025-09-04,IST,ISB,495.63,EUR,EK,2025-09-04T14:05:00,2025-09-04T19:35:00,26
2025-07-15,2025-09-04,IST,ISB,495.63,EUR,EK,2025-09-04T22:25:00,2025-09-05T03:55:00,27
2025-07-15,2025-09-04,IST,ISB,495.63,EUR,EK,2025-09-04T22:25:00,2025-09-05T03:55:00,28
2025-07-15,2025-09-04,IST,ISB,500.63,EUR,EK,2025-09-04T19:25:00,2025-09-05T00:55:00,29
2025-07-15,2025-09-04,IST,ISB,500.63,EUR,EK,2025-09-04T23:20:00,2025-09-05T04:50:00,30
2025-07-15,2025-09-04,IST,ISB,500.63,EUR,EK,2025-09-04T19:25:00,2025-09-05T00:55:00,31
2025-07-15,2025-09-04,IST,ISB,500.63,EUR,EK,2025-09-04T18:35:00,2025-09-05T00:05:00,32
2025-07-15,2025-09-04,IST,ISB,506.14,EUR,EK,2025-09-04T19:25:00,2025-09-05T00:55:00,33
2025-07-15,2025-09-04,IST,ISB,539.14,EUR,FZ,2025-09-04T14:05:00,2025-09-04T19:35:00,34
2025-07-15,2025-09-04,IST,ISB,1833.73,EUR,QF,2025-09-04T19:25:00,2025-09-05T00:55:00,35
2025-07-15,2025-09-05,IST,ISB,262.61,EUR,EY,2025-09-05T14:15:00,2025-09-05T19:50:00,1
2025-07-15,2025-09-05,IST,ISB,262.61,EUR,EY,2025-09-05T07:25:00,2025-09-05T12:55:00,2
2025-07-15,2025-09-05,IST,ISB,271.61,EUR,EY,2025-09-05T07:25:00,2025-09-05T12:55:00,3
2025-07-15,2025-09-05,IST,ISB,272.7,EUR,QR,2025-09-05T20:05:00,2025-09-06T00:20:00,4
2025-07-15,2025-09-05,IST,ISB,272.7,EUR,QR,2025-09-05T13:35:00,2025-09-05T17:50:00,5
2025-07-15,2025-09-05,IST,ISB,277.7,EUR,QR,2025-09-05T20:05:00,2025-09-06T00:30:00,6
2025-07-15,2025-09-05,IST,ISB,277.7,EUR,QR,2025-09-05T13:45:00,2025-09-05T18:10:00,7
2025-07-15,2025-09-05,IST,ISB,277.7,EUR,QR,2025-09-05T09:50:00,2025-09-05T14:15:00,8
2025-07-15,2025-09-05,IST,ISB,277.7,EUR,QR,2025-09-05T13:45:00,2025-09-05T18:10:00,9
2025-07-15,2025-09-05,IST,ISB,297.7,EUR,QR,2025-09-05T13:35:00,2025-09-05T17:50:00,10
2025-07-15,2025-09-05,IST,ISB,306.51,EUR,PK,2025-09-05T01:10:00,2025-09-05T07:55:00,11
